classifier,T,mean,std,n
LightGBM,0.0,57.35,1.83,10
LightGBM,0.02,58.04,1.72,10
LightGBM,0.04,58.15,2.38,10
LightGBM,0.065,59.55,2.35,10
LightGBM,0.1,64.05,0.30,10
LightGBM,0.15,63.61,0.33,10
LightGBM,0.2,60.17,1.90,10
LightGBM,0.3,49.06,1.22,10
LightGBM,0.5,31.75,0.52,10
MLP,0.0,45.42,0.41,10
MLP,0.02,45.70,0.60,10
MLP,0.04,45.28,0.49,10
MLP,0.065,45.23,0.89,10
MLP,0.1,46.91,1.21,10
MLP,0.15,46.63,1.40,10
MLP,0.2,45.96,0.83,10
MLP,0.3,43.19,2.02,10
MLP,0.5,22.09,2.79,10
RandomForest,0.0,42.19,0.13,10
RandomForest,0.02,42.14,0.27,10
RandomForest,0.04,42.22,0.17,10
RandomForest,0.065,42.31,0.12,10
RandomForest,0.1,40.87,0.35,10
RandomForest,0.15,36.60,0.69,10
RandomForest,0.2,35.48,0.40,10
RandomForest,0.3,13.59,0.26,10
RandomForest,0.5,2.93,0.04,10
XGBoost,0.0,53.60,1.41,10
XGBoost,0.02,53.74,1.35,10
XGBoost,0.04,54.35,2.11,10
XGBoost,0.065,55.30,2.29,10
XGBoost,0.1,60.45,1.04,10
XGBoost,0.15,58.76,2.04,10
XGBoost,0.2,47.91,1.74,10
XGBoost,0.3,44.29,0.33,10
XGBoost,0.5,28.54,1.05,10
